Code,Symbol,RateToUSD,TaxRate,Volatility,allowedCountries
LINK,⊲,21.5,0.02,1.7,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
AVAX,Λ,75.0,0.02,1.6,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
XLM,*,0.45,0.02,1.5,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
BCH,Ƀ,280.0,0.02,1.8,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
TON,⌂,8.5,0.02,1.7,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Australia,GB"
SHIB,🦴,2.8e-05,0.02,2.5,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
HBAR,ℏ,0.12,0.02,1.3,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Australia,GB"
LTC,Ł,75.0,0.02,1.5,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
DOT,•,6.5,0.02,1.6,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia,GB"
XMR,ɱ,240.0,0.02,1.8,"United States,The United States,USA,The USA,US,The US,United States Of America,The United States Of America,Canada,United Kingdom Of Great Britain And Northern Ireland,The United Kingdom Of Great Britain And Northern Ireland,United Kingdom,The United Kingdom,UK,The UK,Britain,Great Britain,England,Scotland,Wales,Germany,France,Switzerland,Spain,Italy,Netherlands,GB"
